investor_a,investor_b,total_coinvestments
1e83d39a-0fb3-4728-856c-f0e85554727d,ae1abbe7-86e0-4373-b763-bf43e6e814ac,1
68b8b616-5e4c-0b9e-7e38-55f1cfc4170c,e8487396-f60c-25f1-2bb5-bfcb4e0f4b66,1
58b62e32-dc64-49e5-ff38-1fd7ad67bc3e,70c59048-f193-428f-8380-f59d2cd60252,1
53377857-8995-2128-8f85-bfc8c4a2178e,5a2f99d6-2d35-b2fc-e37d-008ddd6bfb9b,1
1e83d39a-0fb3-4728-856c-f0e85554727d,a804740e-792c-463c-868f-ed9e397797ab,1
1e83d39a-0fb3-4728-856c-f0e85554727d,d7989e6d-e001-421a-8146-b11481faf875,1
8dd8ccf6-91d5-47e7-aa7a-38dd039a5861,d6178e50-2bb9-8355-7118-e9aecc56437e,1
1e83d39a-0fb3-4728-856c-f0e85554727d,b99c38e7-f5e8-43b2-9397-f50e2a64c8bb,1
ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,fadd6e33-af73-4e27-8633-29b0dbf7315b,1
51a7b014-3771-e675-925f-b7d1c9a07ddb,79c675c2-cf28-4ecb-bf85-1a72467efa31,1
8c713ad3-2f86-46f2-b4c2-6646a4168f08,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
1e83d39a-0fb3-4728-856c-f0e85554727d,9befa4f8-6bb0-4a33-a2d1-65d47043d144,1
38ec1a04-fe8f-5c81-84d7-42ad5fa140b3,e98345ec-cc19-bd4c-f502-affff6b3ec87,1
2e6f440d-da18-2e20-af9b-7ddb361792d2,38ec1a04-fe8f-5c81-84d7-42ad5fa140b3,1
1a74bd6d-cf69-1176-6bc9-a1e2caf64d60,61d8e770-abfb-7e2d-51a2-1eeee5b3b1f4,1
1a74bd6d-cf69-1176-6bc9-a1e2caf64d60,a024fec1-b65f-7b9a-20e8-6e12a7b58b6e,1
1a74bd6d-cf69-1176-6bc9-a1e2caf64d60,a80524bc-d772-2f8b-f3d6-d564cd06a286,1
98c14e9b-bc26-377e-0b0a-01b6a9f4e3a9,b08efc27-da40-505a-6f9d-c9e14247bf36,1
98c14e9b-bc26-377e-0b0a-01b6a9f4e3a9,ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,1
1a3f81de-d5b2-0745-0c62-efaae40629d6,55317f90-e057-def5-0abc-f0c2671e6d39,1
22bf8d0e-a534-86bb-6e5d-a44a0c354c20,55317f90-e057-def5-0abc-f0c2671e6d39,1
55317f90-e057-def5-0abc-f0c2671e6d39,5cec07d3-5066-080f-9bf9-38e83addd925,1
55317f90-e057-def5-0abc-f0c2671e6d39,56240d7d-a48a-a683-bee7-fe39ddb1bc36,1
55317f90-e057-def5-0abc-f0c2671e6d39,d64c7773-a04b-ed7e-bb67-b6126df2a42b,1
02e6a6f3-81f2-c63f-21d4-d29fb4b83e85,55317f90-e057-def5-0abc-f0c2671e6d39,1
350cd115-dad1-4cef-8e71-42d62719e60f,91bca022-0bb3-4091-b93f-4c47f57e1077,1
350cd115-dad1-4cef-8e71-42d62719e60f,58b62e32-dc64-49e5-ff38-1fd7ad67bc3e,1
5ae2de2f-f56b-6e7a-bf51-76b51550db12,a024fec1-b65f-7b9a-20e8-6e12a7b58b6e,1
5ae2de2f-f56b-6e7a-bf51-76b51550db12,fb8d57c4-eb30-d2e3-ac69-b62cc0f27bbf,1
1eb5764e-21ca-9b3a-7e62-ffa6bd38b35d,5ae2de2f-f56b-6e7a-bf51-76b51550db12,1
56e40f50-97c7-2a77-255d-1d97d5f30646,9f926ea7-9969-f5f9-2c4f-a4b0ca712ecf,1
9f926ea7-9969-f5f9-2c4f-a4b0ca712ecf,e21d800e-0b36-0917-dc1a-4fa240944ed6,1
2abf47a7-abbb-4166-9cdb-57acce5ff80c,ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,1
56e40f50-97c7-2a77-255d-1d97d5f30646,d85e965b-1c9d-2b11-25c4-1b7f4abbb82d,1
5ebfc8db-c498-b5d8-4066-c4584bd96d18,d85e965b-1c9d-2b11-25c4-1b7f4abbb82d,1
0603fb41-7bc1-419d-8c93-49e4c63af4de,3f6289b0-8df4-40f2-b811-55a66b24f03c,2
98c022ed-7618-e03e-ff49-8ba92924d58d,f3f42664-987a-14c4-66ee-f8045c8c6c14,1
f3f42664-987a-14c4-66ee-f8045c8c6c14,fa3702d1-7892-f7b0-2b56-e2fda660b8d1,1
b6542403-0296-4510-bd57-d55eefd442b8,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
02e6a6f3-81f2-c63f-21d4-d29fb4b83e85,fe52220a-4829-b02a-cb43-054ff174240a,1
016b0657-b51d-10e9-567d-1ab83503c312,c2faeab1-3e1a-4bfe-80e3-a1093c9dc351,1
889c3e31-babe-b020-d0b8-eb2ba6c6f2f0,c3909467-4c5b-8539-112a-9450939b5d25,1
0b8ccc2d-d258-4825-bbd2-6f8a99f57919,3a6c9503-0cc8-0809-7925-65e590f9010c,1
0b8ccc2d-d258-4825-bbd2-6f8a99f57919,851a0e95-cb3b-44fb-842f-9279a35d17dd,1
03ba3e69-8f91-4bf3-93ed-4639aeed740d,30d221aa-11e7-8379-b996-230477674c69,1
03ba3e69-8f91-4bf3-93ed-4639aeed740d,3e8bfe1e-9145-85cd-649c-4ef3c0fd1b56,1
00757ec8-abf2-44c1-b39b-c3248eb0348e,cd7e5e56-ae5f-4cb0-b07d-db2b056b5f39,1
00757ec8-abf2-44c1-b39b-c3248eb0348e,217c8255-a2c3-4603-a9d2-f6adf8649ff7,1
55d85218-69fc-0338-0c26-43c2bdeeaf0e,ef72ca0b-d40c-9ffe-c553-4c7794c4d60f,1
ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,ef72ca0b-d40c-9ffe-c553-4c7794c4d60f,1
7a8850e7-1b31-797d-f349-bec6d7c72b79,8426c4a7-1fff-c3d8-9af4-e673a788212d,1
2860980f-c3a8-ddb8-0dae-f57d470771d4,eec354de-1ed2-254d-647b-f218643791d9,1
2860980f-c3a8-ddb8-0dae-f57d470771d4,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
d0112da0-c9cc-b529-3c62-257e8e7276f8,e0d42809-797a-42e8-874e-995e4f11d3d6,1
2e6f440d-da18-2e20-af9b-7ddb361792d2,d0112da0-c9cc-b529-3c62-257e8e7276f8,1
3215231f-463c-41f8-82b4-62b14757df65,62a64d49-2dad-4841-9e13-65333ec940ba,1
3215231f-463c-41f8-82b4-62b14757df65,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
77dda83a-8c4f-2136-2e62-ae0b5a63f471,e7a1df00-0943-33cc-d451-8c2c6eae12e5,1
16b9665b-8b74-d429-17a4-977e10a959c3,77dda83a-8c4f-2136-2e62-ae0b5a63f471,1
5ce64378-cb2d-266f-5719-0cd08e9a0063,975c1975-a83a-477d-bb48-f0f7680698fb,1
975c1975-a83a-477d-bb48-f0f7680698fb,dcdaae03-9e16-48ab-85d7-ed7ef9a0f11e,1
0603fb41-7bc1-419d-8c93-49e4c63af4de,632c572f-d93c-49cc-9edb-9152039df7ed,1
26bcf130-4aa8-a3b3-3571-1b8f13143370,632c572f-d93c-49cc-9edb-9152039df7ed,1
6497ce9e-c7fd-456d-9bbb-e311978bdea4,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
46dc8555-6cb0-44e3-9508-f104fbd0e85e,c4df4dd3-868b-4848-b7a1-cc53cf08b271,1
46dc8555-6cb0-44e3-9508-f104fbd0e85e,ee14fe3a-7664-fcd6-eb23-0fd4a42672ee,1
03ccdcf3-0517-fa35-77b1-3746b0c5ecbb,ae788d4a-ad06-4b89-9ddb-7587cbc31760,1
602bb395-49b6-8aca-c8ea-6507975ead29,b69419e2-81a6-6608-8331-f685d8341a6a,1
0961f8a3-0808-4de0-baad-ebbb7e1a5725,ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,1
