investor_name,investment_count,25m_count,100m_count,250m_count,earliest_investment_experience,broad_category_count,specific_category_count,annualised_investment_count,25m_rate,100m_rate,250m_rate,experience,broad_diversity,specific_diversity,weighted_success_rate
Piotr Karwatka,1,1,0,0,2021,4,3,0.1111111111111111,1.0,0.0,0.0,0.2727272727272727,0.1080139372822299,0.0308390022675736,0.28
Cold Start Ventures,2,0,0,0,2021,3,5,0.2222222222222222,0.0,0.0,0.0,0.2727272727272727,0.0278745644599303,0.0435374149659863,0.0
Debra Messing,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Ithaca Investments,1,0,0,0,2021,5,3,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1707317073170731,0.0308390022675736,0.0
Teknol,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Mark Bouzyk,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Miguel Otero,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Thoma Bravo,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Fidelis Care,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Dan Romero,5,1,0,0,2021,11,12,0.5555555555555556,0.2,0.0,0.0,0.2727272727272727,0.1651567944250871,0.1026757369614512,0.056
Florida Angel Nexus,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Calm Company Fund,2,0,0,0,2021,10,11,0.2222222222222222,0.0,0.0,0.0,0.2727272727272727,0.3449477351916376,0.2176870748299319,0.0
Unovis Asset Management,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Ellis Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
J-Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Judith Fitzpatrick,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Sky Light Invest,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Paul Boursier,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Y2Z Ventures,2,0,0,0,2021,10,6,0.2222222222222222,0.0,0.0,0.0,0.2727272727272727,0.3449477351916376,0.0634920634920634,0.0
Brainware Ventures LLC,1,0,0,0,2021,5,3,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1707317073170731,0.0308390022675736,0.0
Cyrus Capital Partners,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Nelnet,2,0,0,0,2021,5,6,0.2222222222222222,0.0,0.0,0.0,0.2727272727272727,0.0836236933797909,0.0634920634920634,0.0
Yummy Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Moore Strategic Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Angelos Angelou,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Apollo Health Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Nate Lipscomb,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Mike Simmons,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Kenneth Wu,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Kilara Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Kimball Thomas,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Colibri Equity Management,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Sam Kwok,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Vivo Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Private Angel group,1,0,0,0,2021,8,7,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.4425087108013937,0.1759637188208616,0.0
Roman Leal,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Lab Capital Advisors,1,0,0,0,2021,2,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.024390243902439,0.0126984126984126,0.0
TinyUtility Limited,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
