pair,Unnamed: 0,investment_count,25m_count,100m_count,250m_count,25m_rate,100m_rate,250m_rate,weighted_success_rate,average_experience,average_success_rate,average_specific_diversity,average_broad_diversity
"ac3cacf9-284a-4313-bd61-8a3defa858c5,8b20d198-7501-20cf-fff0-e89cce98311b","ac3cacf9-284a-4313-bd61-8a3defa858c5,8b20d198-7501-20cf-fff0-e89cce98311b",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.0933333333333333,0.0495842781557066,0.0673635307781649
"85c7d628-e3ea-43f8-ba00-4ad7a0afceba,70de1388-0fd1-4dae-92ad-6a67520f8409","85c7d628-e3ea-43f8-ba00-4ad7a0afceba,70de1388-0fd1-4dae-92ad-6a67520f8409",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.0933333333333333,0.1076341647770218,0.2578397212543554
"3b8fc272-5479-bb3b-e81e-ce023ec4c262,31a9afcb-a2e4-511c-ef27-a7fb49a372d9","3b8fc272-5479-bb3b-e81e-ce023ec4c262,31a9afcb-a2e4-511c-ef27-a7fb49a372d9",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.175,0.0598639455782312,0.0949477351916375
"bcf2a632-affb-41cd-b136-dcbf456624dc,6cba771c-1d7d-46ec-850b-9d10076333a6","bcf2a632-affb-41cd-b136-dcbf456624dc,6cba771c-1d7d-46ec-850b-9d10076333a6",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.0855555555555555,0.0552280171327789,0.0905923344947735
"bc0ba0dd-5369-4956-9fe8-1665cb1346d1,74c36e6c-0e9a-482d-82ed-1ca535607151","bc0ba0dd-5369-4956-9fe8-1665cb1346d1,74c36e6c-0e9a-482d-82ed-1ca535607151",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.056235827664399,0.0592334494773519
"d5df3873-7871-c608-0284-c74d0b555ccd,b1e03e36-b935-b373-4a01-b667fe9e2f59","d5df3873-7871-c608-0284-c74d0b555ccd,b1e03e36-b935-b373-4a01-b667fe9e2f59",2,1,0,0,0.5,0.0,0.0,0.14,0.2727272727272727,0.0759677419354838,0.1783629580864603,0.1318140946386422
"ebef92fa-c852-dd62-1027-9ac044521e35,cee22b35-816d-4001-b5a6-4c341d8343a6","ebef92fa-c852-dd62-1027-9ac044521e35,cee22b35-816d-4001-b5a6-4c341d8343a6",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.077,0.1908390022675736,0.2257839721254355
"e24eb956-a671-46fe-a04b-d461684f016b,d6879c32-dd23-4a5e-a715-b34b451183c6","e24eb956-a671-46fe-a04b-d461684f016b,d6879c32-dd23-4a5e-a715-b34b451183c6",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,0.7133333333333333,0.0441421012849583,0.2415795586527293
"cf12f41b-b945-49e0-9465-59e25bb868b2,021ff21d-e904-456c-8c4b-71c101853889","cf12f41b-b945-49e0-9465-59e25bb868b2,021ff21d-e904-456c-8c4b-71c101853889",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,1.0,0.0308390022675736,0.337979094076655
"3c441dae-dbb2-4231-9979-4a4056b75f9f,0f2b9e42-0db4-fb0b-3797-0ce9f43be1db","3c441dae-dbb2-4231-9979-4a4056b75f9f,0f2b9e42-0db4-fb0b-3797-0ce9f43be1db",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.098,0.0921541950113378,0.1421602787456445
"31a9afcb-a2e4-511c-ef27-a7fb49a372d9,30c81756-8fad-cc91-4be3-74b7f6c98e61","31a9afcb-a2e4-511c-ef27-a7fb49a372d9,30c81756-8fad-cc91-4be3-74b7f6c98e61",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.0308390022675736,0.1080139372822299
"77751b3b-e74c-4a7f-ac5d-d041b4ab686e,6c1423ef-756a-499b-b46f-d946d02478b0","77751b3b-e74c-4a7f-ac5d-d041b4ab686e,6c1423ef-756a-499b-b46f-d946d02478b0",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.134,0.0885260770975056,0.1554006968641114
"e8add253-a824-0513-65b2-95b0286fce1e,7de64040-14b2-70c3-775c-221d675b0af4","e8add253-a824-0513-65b2-95b0286fce1e,7de64040-14b2-70c3-775c-221d675b0af4",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.175,0.0984126984126983,0.3667247386759581
"96132265-35bb-fbc1-2b25-e5793a34f241,31a9afcb-a2e4-511c-ef27-a7fb49a372d9","96132265-35bb-fbc1-2b25-e5793a34f241,31a9afcb-a2e4-511c-ef27-a7fb49a372d9",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.0371882086167799,0.0801393728222996
"bbb6d64f-e92b-4a6f-9c50-6d01a3a4b000,6bdcaf25-865a-d1e1-90f7-330b99a4ee36","bbb6d64f-e92b-4a6f-9c50-6d01a3a4b000,6bdcaf25-865a-d1e1-90f7-330b99a4ee36",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.0725623582766439,0.1114982578397212
"a00e153a-389b-41ea-ac35-f6172319a052,3b8fc272-5479-bb3b-e81e-ce023ec4c262","a00e153a-389b-41ea-ac35-f6172319a052,3b8fc272-5479-bb3b-e81e-ce023ec4c262",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.175,0.0598639455782312,0.0949477351916375
"566d5a33-1fa4-4768-9ec1-ed6eff2b5fb9,0c44ce09-fff6-4cad-a7a0-8583651d968b","566d5a33-1fa4-4768-9ec1-ed6eff2b5fb9,0c44ce09-fff6-4cad-a7a0-8583651d968b",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,0.5294117647058824,0.0759770574896624,0.2264808362369337
"9632baf9-8c51-f8a0-2beb-011fe6c02504,4b3b3bb1-6d44-3282-ad55-0eadf4a0a52f","9632baf9-8c51-f8a0-2beb-011fe6c02504,4b3b3bb1-6d44-3282-ad55-0eadf4a0a52f",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.224,0.0874376417233559,0.0843205574912891
"8133f01f-b0d0-f1da-99fb-f6b911e903a5,49c1b235-6fc0-f9a1-4671-40024c7148ff","8133f01f-b0d0-f1da-99fb-f6b911e903a5,49c1b235-6fc0-f9a1-4671-40024c7148ff",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.0126984126984126,0.0592334494773519
"53cc5c97-f4d9-4eb8-b85c-6d78932766ac,025d9d33-736d-4775-b237-5ae4beac45d8","53cc5c97-f4d9-4eb8-b85c-6d78932766ac,025d9d33-736d-4775-b237-5ae4beac45d8",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.0308390022675736,0.1080139372822299
"71595368-3ba8-41f0-ac1e-088653caa9e8,34a9bb66-0984-8de0-e7fb-13e976b4a135","71595368-3ba8-41f0-ac1e-088653caa9e8,34a9bb66-0984-8de0-e7fb-13e976b4a135",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.0325272727272727,0.2628274582560297,0.1008489071903706
"c5b533c0-b6b4-41e8-bc7d-7fb4fb650da1,04e48b72-4daf-985b-4dad-bbc9a53de249","c5b533c0-b6b4-41e8-bc7d-7fb4fb650da1,04e48b72-4daf-985b-4dad-bbc9a53de249",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.21,0.0371882086167799,0.1149825783972125
"a5b62ce5-0a7f-1129-fdc7-d39223f6bba0,9632baf9-8c51-f8a0-2beb-011fe6c02504","a5b62ce5-0a7f-1129-fdc7-d39223f6bba0,9632baf9-8c51-f8a0-2beb-011fe6c02504",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.0888888888888888,0.0592334494773519
"beadb218-e5fa-2686-bc95-4dfaa9acc2e8,8b4267ff-dbd0-4610-a640-e254af022808","beadb218-e5fa-2686-bc95-4dfaa9acc2e8,8b4267ff-dbd0-4610-a640-e254af022808",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.0868,0.2304580498866213,0.127177700348432
