founded_year,org_uuid,name_x,category_list,category_groups_list,total_funding_usd,ultimate_outlier_success_250_mil_raise,interim_success_100_mil_founded_year_2019_or_above,recent_success_25_mil_raise_founded_year_2022_or_above,investor_names,investor_uuids,name_y
2022,d9923415-360f-474a-8c1a-c80388e39371,p0,,,6500000.0,0,0,0,"Alchemy Ventures, Lightspeed Venture Partners","4d9850ac-ca28-b382-af43-a4277c85fb87, d5df3873-7871-c608-0284-c74d0b555ccd",p0
2022,22755b06-eee6-4b18-a11c-df1024a4e036,Holonym,,,5500000.0,0,0,0,"Arrington Capital, Draper Dragon, Finality Capital Partners, Founderheads,, Fusion Fund, Lightshift Capital, Paper Ventures, Paul Taylor, Protagonist, Selini Capital, Spaceship, Zero DAO, Zero Knowledge","ff7269dd-dc3f-4ddd-9455-81c530239858, 234e1ba1-df6b-4234-8dc6-8ff8c3c7c2f6, 25e24ee3-7663-4112-b521-3b7dbd922741, f5dcc5db-2d95-49ef-8e51-35dfaf52a12a, 71bc9eb7-fbf8-4280-af39-ffd46f42f985, 8f2d47fd-545b-4544-b135-c1dc76b10c56, 27511dd4-f1b4-488c-86ce-f7a15dd6fec3, 83e66dc5-a8ac-4491-a831-2be95d3ed9e9, f8527641-abd1-4253-828e-e0d659b627b9, ae35f733-b111-4003-b97c-0f98ae168317, 7369d6b3-65b1-445f-83b8-30ea829ce4a1, 1f1282ca-4732-4cea-a6df-d5e22e456dd2, 796a9a72-835c-420c-8710-8da448730b39",Holonym
2022,1425d7a0-25b3-4937-8305-fe32c2b5fcec,VenturePunk,,,1500000.0,0,0,0,"Bain Capital Crypto, ConsenSys Mesh, NxGen.xyz, Polygon Ventures","6cba771c-1d7d-46ec-850b-9d10076333a6, 630b4856-d1e5-4c57-8585-f379b78670ee, dd2f5008-f9ad-4965-ba08-4301f993a30a, d52ac3c6-6a65-489c-a31c-e2c998b1591a",VenturePunk
2022,d57480a0-2656-4337-a77e-fcde51312867,Hyperglade,,,350000.0,0,0,0,Draper Associates,3ca5eb2f-0eed-a808-2354-12c35d397743,Hyperglade
2022,35a2a8bf-a108-4f3a-848d-3dd8997bb5b1,Data Validator,,,4000000.0,0,0,0,Anton Vasiliev,c27c6303-53f2-48aa-a5fd-06ac3d21376b,Data Validator
2022,463df357-0a4a-4dc0-a2c2-73e344d7c088,Engi,,,,0,0,0,Eniac Ventures,a37476b4-7632-a500-c471-1e71b40ac47b,Engi
2022,f762865f-f45e-41b4-afdd-9e79db41e8ca,Innvest FInances,,,3220.0,0,0,0,Aim Capital (Earlier Aentor Finances),50012bc3-3f8f-4d8d-a47e-53156ade80db,Innvest FInances
2022,dae7f1da-57f0-4504-9d7c-01f6ffde13d2,BitMoney,,,320000.0,0,0,0,"Bashar Hamood, FasterCapital, Hesham Zreik","67d7b771-7720-8d6a-127a-2bf3ac0dbac6, d7726d53-a989-310b-5033-52d48e7822b6, bb902061-1366-30d9-5ba2-566f5edf065c",BitMoney
2022,47bc6a82-44ac-444f-8695-ac55fde07529,Occosoft LLC,,,330000.0,0,0,0,"Techstars, Y Combinator","3718597a-dd39-6661-3630-09cdd43bcac2, 73633ee4-ea65-2967-6c5d-9b5fec7d2d5e",Occosoft LLC
2022,6a0ca7e5-3ba4-498d-a6ca-a3c52113f1f7,Wellen,,,1700000.0,0,0,0,"Dream Machine, Long Journey Ventures, Village Global","c1d3f8a4-61f8-4337-8f3c-5b9e97f78510, 1dfa9c3e-0120-4936-8efe-6c51ffab1f49, dc7fc343-2884-5489-8127-9e3ed9f88349",Wellen
